CH1;CH2;PPG
98.98953;60.786804;574.29736
99.02048;60.820232;574.297
99.013916;60.816227;574.29736
99.01444;60.81878;574.28705
99.00808;60.79727;574.2874
98.99813;60.78218;574.2875
98.99043;60.784805;574.2879
99.004875;60.797703;574.286
99.02371;60.811268;574.28986
99.04443;60.833656;574.3004
99.04406;60.834583;574.2995
99.04668;60.835995;574.2834
99.021805;60.80793;574.2847
98.991486;60.780727;574.282
98.99823;60.782513;574.278
99.009964;60.793148;574.2785
98.9982;60.781944;574.27875
98.97964;60.770023;574.2802
98.95567;60.75071;574.27985
98.96206;60.763752;574.27997
98.96681;60.76573;574.2796
98.97928;60.7674;574.2803
98.974525;60.761414;574.2813
98.97696;60.765945;574.2815
99.00881;60.793602;574.28156
99.04355;60.823956;574.2838
99.05896;60.841904;574.2847
99.057785;60.84727;574.28625
99.056786;60.842766;574.28925
99.05302;60.83802;574.2894
99.046936;60.83747;574.2907
99.064224;60.84486;574.2936
99.04146;60.820755;574.2995
98.995605;60.779865;574.30334
99.01616;60.79601;574.3029
99.02674;60.79699;574.3085
99.06298;60.835205;574.3098
99.08895;60.864964;574.3128
99.10971;60.881695;574.30975
99.10909;60.881294;574.3058
99.06611;60.83499;574.30585
99.096886;60.858807;574.3075
99.130005;60.900127;574.30896
99.09557;60.872234;574.3098
99.075836;60.846603;574.31104
99.08073;60.85495;574.3107
99.07727;60.841763;574.309
99.07357;60.831345;574.3107
99.08439;60.842953;574.31323
99.092575;60.852394;574.31726
99.07388;60.83938;574.32336
99.08745;60.851967;574.3261
99.101295;60.865986;574.3213
99.10521;60.869946;574.31934
99.09057;60.863506;574.3208
99.07226;60.851654;574.325
99.10659;60.871944;574.3225
99.082054;60.842594;574.317
99.067375;60.831272;574.319
99.10247;60.869255;574.3198
99.1043;60.875046;574.31934
99.088234;60.863865;574.3147
99.087944;60.860146;574.31384
99.10056;60.85764;574.3145
99.09341;60.849083;574.3152
99.11057;60.87428;574.3151
99.108215;60.87645;574.3139
99.107666;60.88539;574.31555
99.10771;60.887707;574.3158
99.09212;60.866558;574.316
99.09794;60.863174;574.31744
99.108826;60.8745;574.31445
99.102234;60.865627;574.3147
99.116196;60.874977;574.3214
99.14872;60.905514;574.3218
99.15225;60.910904;574.31836
99.12352;60.87383;574.31305
99.113914;60.874977;574.3033
99.06861;60.83759;574.29956
99.04372;60.81017;574.29645
99.068634;60.825504;574.29694
99.06573;60.81327;574.2953
98.99263;60.745754;574.29803
98.9479;60.717117;574.29675
98.96707;60.732998;574.2989
98.99384;60.752472;574.2983
99.1101;60.86796;574.2944
99.10616;60.86532;574.2928
99.12746;60.881653;574.29205
99.11506;60.876427;574.2894
99.09889;60.85972;574.287
99.10924;60.872875;574.2843
99.085495;60.86222;574.2798
99.08829;60.865795;574.28326
99.10564;60.86837;574.2815
99.06325;60.82712;574.2723
99.055145;60.81663;574.2731
99.0524;60.812485;574.27423
99.02482;60.778103;574.2694
99.02168;60.77455;574.2694
99.05261;60.811794;574.26544
99.05626;60.819996;574.2581
99.0442;60.81916;574.25977
99.04138;60.831364;574.26715
99.05922;60.84989;574.27057
99.05206;60.85273;574.2626
99.03306;60.84863;574.25385
99.03726;60.864964;574.2571
99.043434;60.91143;574.2611
99.044624;60.95115;574.2598
99.02391;60.95947;574.2646
99.02877;60.972984;574.25085
99.02562;60.97714;574.2439
99.01118;60.96073;574.23926
99.00402;60.94333;574.23596
99.00829;60.930595;574.239
99.019165;60.940063;574.24036
99.034706;60.956226;574.2382
99.067085;60.982143;574.23694
99.0739;60.97599;574.23676
99.05314;60.945904;574.24207
99.04503;60.918293;574.2353
99.039955;60.901485;574.22845
99.02362;60.887657;574.2232
99.01892;60.903393;574.2264
99.01468;60.904823;574.2302
99.01122;60.90454;574.2334
99.02236;60.910904;574.23206
99.047295;60.936104;574.2247
99.06877;60.95606;574.21906
99.06456;60.939487;574.2149
99.04052;60.898983;574.2116
99.002014;60.842117;574.2083
99.02856;60.86017;574.2099
99.04827;60.88897;574.20764
99.03197;60.88511;574.2097
99.0293;60.89083;574.2049
99.01497;60.882744;574.2019
99.02698;60.88401;574.1985
99.023285;60.86532;574.19714
99.03025;60.85144;574.1955
99.041794;60.853493;574.1946
99.00879;60.815773;574.19135
99.00333;60.78087;574.1883
99.000374;60.76475;574.1864
99.008125;60.76728;574.18445
98.98163;60.719715;574.1839
98.95686;60.691055;574.1829
99.00927;60.733185;574.18115
99.0684;60.782063;574.1819
99.076004;60.78831;574.1807
99.08323;60.7941;574.1841
99.06117;60.79119;574.18176
99.04358;60.782276;574.1753
99.02405;60.758125;574.1755
99.018394;60.741413;574.175
99.005196;60.72656;574.1765
99.00617;60.722694;574.1736
99.00913;60.712708;574.17676
99.033844;60.736355;574.1797
99.044365;60.755646;574.18146
99.037994;60.769375;574.1783
99.01892;60.750565;574.1654
99.00055;60.733307;574.163
99.0375;60.766182;574.1613
99.04739;60.76268;574.1635
99.07751;60.795006;574.16956
99.09563;60.826836;574.16864
99.0873;60.819324;574.16284
99.08156;60.7988;574.15283
99.080315;60.794483;574.1534
99.066536;60.783348;574.15234
99.05297;60.776936;574.1534
99.07071;60.792698;574.15295
99.05881;60.78156;574.15015
99.0179;60.74928;574.1472
99.066605;60.79205;574.14886
99.086205;60.81923;574.1637
99.088425;60.808025;574.15924
99.11198;60.79291;574.1613
99.101295;60.736454;574.15857
99.09398;60.675873;574.1412
99.10833;60.681374;574.1434
99.166985;60.796555;574.1427
99.25191;60.965645;574.1373
99.24423;61.061676;574.1372
99.27058;61.263718;574.1311
99.29649;61.535057;574.1308
99.344124;61.84357;574.1318
99.36151;62.125122;574.1263
99.3868;62.431347;574.1264
99.36739;62.67859;574.12915
99.27098;62.781178;574.1353
99.09321;62.808357;574.12897
99.01969;62.913143;574.12854
99.10283;63.117706;574.1258
99.15365;63.12233;574.1283
99.2305;62.995087;574.1242
99.284454;62.614666;574.1212
99.32398;62.034286;574.1178
99.35545;61.46022;574.1214
99.39634;61.093487;574.1171
99.390785;60.95215;574.1146
99.366135;60.929523;574.1132
99.32286;60.99304;574.11707
99.27439;61.069286;574.11566
99.243614;61.11227;574.10675
99.25232;61.15206;574.1073
99.27699;61.196793;574.11163
99.26943;61.19839;574.11005
99.28948;61.21696;574.1043
99.27291;61.189114;574.1047
99.253;61.169064;574.10205
99.26795;61.168896;574.1023
99.27565;61.170994;574.0996
99.31478;61.201916;574.1004
99.28245;61.14851;574.1021
99.264114;61.12312;574.0922
99.22389;61.095226;574.0909
99.21862;61.074295;574.09033
99.23611;61.06442;574.0899
99.25847;61.097466;574.0886
99.26545;61.107502;574.0897
99.23457;61.077633;574.0865
99.23548;61.08149;574.0845
99.25727;61.11213;574.0849
99.25625;61.106457;574.085
99.222466;61.077797;574.0821
99.197685;61.059555;574.0819
99.21274;61.065712;574.07825
99.2406;61.08435;574.0781
99.24394;61.101807;574.0766
99.22342;61.08688;574.076
99.20537;61.0706;574.07446
99.19037;61.0561;574.07294
99.15993;61.01538;574.0713
99.1441;61.014854;574.0703
99.20732;61.087646;574.0703
99.198;61.06349;574.0701
99.127815;60.9984;574.06714
99.12524;61.01142;574.06537
99.15976;61.033474;574.0633
99.130646;61.00432;574.0615
99.13196;61.017143;574.05963
99.13844;61.032043;574.05865
99.142166;61.046852;574.0584
99.137276;61.04995;574.0578
99.14157;61.054096;574.05566
99.13933;61.04072;574.0549
99.163475;61.05932;574.05597
99.17478;61.10195;574.0538
99.15864;61.09699;574.05225
99.12233;61.070644;574.0488
99.15286;61.099255;574.04694
99.15964;61.099705;574.044
99.17211;61.103043;574.0439
99.20811;61.144627;574.0435
99.21477;61.158764;574.0425
99.19152;61.14844;574.04535
99.16398;61.132633;574.04956
99.071754;61.06771;574.059
99.06226;61.068974;574.04285
99.119774;61.12548;574.03436
99.12924;61.146297;574.0347
99.14326;61.16728;574.03644
99.16424;61.192192;574.0365
99.18093;61.218777;574.03595
99.19214;61.239994;574.03687
99.17242;61.231174;574.03284
99.14352;61.22776;574.0365
99.186226;61.280766;574.0335
99.19399;61.294254;574.0307
99.18415;61.29068;574.03534
99.17871;61.294876;574.0186
99.177216;61.309155;574.0129
99.16197;61.307945;574.0172
99.19225;61.36321;574.0183
99.174255;61.378277;574.01605
99.1908;61.40462;574.0082
99.21615;61.44301;574.0082
99.18064;61.42906;574.0086
99.11751;61.381516;574.0079
99.12869;61.406887;574.0086
99.11369;61.418663;574.0029
99.09949;61.42811;573.9933
99.10859;61.44868;573.9953
99.13439;61.49541;573.9923
99.133224;61.52221;573.9886
99.16462;61.575756;573.9866
99.23992;61.650433;573.98755
99.23219;61.658463;573.99207
99.23706;61.674175;573.9952
99.23849;61.686146;573.98303
99.224304;61.69621;573.98486
99.2547;61.746822;573.9807
99.23209;61.727272;573.9781
99.213524;61.708366;573.9773
99.20859;61.724888;573.9779
99.2032;61.73595;573.9807
99.22112;61.76084;573.9771
99.224304;61.770973;573.9762
99.20916;61.7591;573.98047
99.18088;61.73917;573.9813
99.19924;61.774742;573.976
99.13091;61.72465;573.97687
99.109116;61.696705;573.98553
99.14345;61.715042;573.98474
99.159096;61.712227;573.98346
99.14433;61.69597;573.9864
99.1374;61.6896;573.99115
99.158516;61.68767;573.99524
99.174255;61.676895;574.0025
99.1639;61.655914;574.00775
99.15444;61.604702;574.0107
99.14874;61.569584;574.01935
99.12548;61.506973;574.02997
99.12106;61.46463;574.0384
99.133385;61.446007;574.0456
99.1079;61.393223;574.0547
99.07512;61.332382;574.06586
99.06587;61.29335;574.0763
99.0445;61.24538;574.0903
99.01592;61.176193;574.099
98.99692;61.113678;574.10504
98.98199;61.06974;574.11975
98.99759;61.06485;574.13306
98.98779;61.038055;574.13934
98.97191;61.017212;574.1531
98.96586;61.00253;574.1567
98.98323;60.990414;574.16394
98.99961;60.967407;574.17084
99.01976;60.959087;574.18243
98.97722;60.92845;574.18726
98.94058;60.900677;574.1964
98.99618;60.926018;574.2014
99.06584;60.97611;574.20996
99.057495;60.966766;574.21747
99.01203;60.919415;574.2238
99.002594;60.89588;574.2322
99.00069;60.88837;574.239
99.02589;60.904633;574.2429
99.017235;60.885822;574.2486
99.012146;60.87564;574.26025
99.00896;60.872635;574.26685
99.04479;60.91126;574.2737
99.03559;60.9043;574.275
99.02427;60.895004;574.2801
99.027504;60.88637;574.2821
99.01754;60.877907;574.2841
99.01644;60.88499;574.285
99.0225;60.876408;574.28754
99.05402;60.89417;574.28876
99.0374;60.88351;574.2902
99.01852;60.876858;574.29236
99.04565;60.898647;574.29297
99.05159;60.89846;574.2929
99.04856;60.901917;574.29584
99.01058;60.858765;574.29865
99.01182;60.862457;574.298
99.006424;60.871113;574.2963
98.98004;60.839664;574.2944
98.95467;60.82638;574.2941
98.98052;60.861027;574.2961
98.99593;60.873306;574.29486
98.99316;60.86806;574.29376
98.98128;60.860714;574.2935
99.02865;60.881958;574.29126
99.05259;60.912548;574.2884
99.05445;60.916054;574.28644
99.058975;60.915863;574.2858
99.02522;60.899414;574.2836
99.01664;60.902035;574.28235
98.998184;60.876286;574.27924
99.027985;60.891376;574.278
99.087135;60.941513;574.2759
99.05874;60.92886;574.27246
99.00365;60.889587;574.2703
99.02059;60.91188;574.2676
99.03313;60.91634;574.2625
99.03824;60.919678;574.25916
99.06554;60.942448;574.25745
99.04167;60.92063;574.25385
99.019806;60.884342;574.2501
99.02796;60.89085;574.2459
99.07422;60.938038;574.2431
99.087685;60.95599;574.24133
99.06554;60.94452;574.2376
99.09389;60.976612;574.2343
99.06005;60.932793;574.23047
99.05445;60.923206;574.2266
99.04949;60.9295;574.2245
99.05683;60.93367;574.2247
99.08125;60.937035;574.22217
99.07104;60.919655;574.219
99.08737;60.93999;574.2165
99.07589;60.94664;574.212
99.04498;60.917175;574.2148
99.012726;60.88334;574.21564
98.98304;60.8477;574.2066
99.01044;60.879837;574.1962
99.04193;60.891666;574.197
99.05637;60.889446;574.1887
99.080795;60.928383;574.1833
99.08415;60.932743;574.18286
99.05268;60.910545;574.17395
99.02786;60.898888;574.16815
99.046394;60.90585;574.16437
99.02582;60.877525;574.1613
99.00384;60.845173;574.1587
99.01606;60.85356;574.15784
99.01559;60.867844;574.1607
99.00695;60.86973;574.1562
99.017136;60.868896;574.1516
99.009315;60.84784;574.15875
98.99799;60.828075;574.14996
99.015656;60.851536;574.13916
98.98424;60.82495;574.13794
98.978615;60.819138;574.1457
99.029655;60.86188;574.14056
99.06988;60.881413;574.1334
99.10981;60.924805;574.1326
99.0828;60.910976;574.1312
99.05447;60.88551;574.13367
99.05235;60.878956;574.1279
99.066536;60.8724;574.1289
99.07136;60.873306;574.1275
99.07359;60.88213;574.1252
99.05943;60.87779;574.11945
99.06904;60.88978;574.12103
99.069725;60.896862;574.1169
99.02482;60.849842;574.11505
99.00927;60.82698;574.11566
98.9968;60.821545;574.1123
99.02691;60.84012;574.10974
99.0292;60.84303;574.10706
99.029396;60.83592;574.1085
99.0241;60.8286;574.1074
98.99728;60.81847;574.10724
98.98025;60.802498;574.1073
99.002;60.81539;574.1075
98.9951;60.815014;574.10846
98.96478;60.783825;574.1089
98.982185;60.789906;574.10846
98.98846;60.793957;574.11176
98.9872;60.80862;574.11206
98.98769;60.79777;574.1131
99.002525;60.801067;574.11523
98.99602;60.802208;574.1154
98.98092;60.786976;574.1159
98.991455;60.800037;574.1171
99.02407;60.822426;574.11926
